Tº K	Densidad (mol/L)	Viscosidad(MicroPoise)			para Sr	Sr	ymedia	Y-Ymedia al 2	St	R^2
320	0.037813	100			170.3464098	7309854.346	337.05	50175.24635	7454617.248	0.019419227
320	0.86511	105			11025			13039.67189		
320	1.4235	109			11881			13493.14767		
320	2.1395	116			13456			14438.67098		
320	2.5994	123			15129			15290.34685		
320	3.1807	130			16900			16686.15408		
320	3.984	148			21904			19324.73647		
320	5.2682	169			28561			25872.66888		
320	7.1968	235			55225			44654.74904		
320	8.5524	273			74529			69268.55742		
320	9.7932	327			106929			106149.0932		
320	10.466	371			137641			134622.8784		
320	10.936	401			160801			159184.0004		
320	12.266	500			250000			256592.391		
320	13.022	567			321489			336570.2693		
320	14.004	676			456976			477668.3263		
320	14.683	768			589824			607026.8171		
320	15.213	852			725904			730621.5647		
320	15.651	928			861184			850437.0763		
320	16.026	1002			1004004			967541.7703		
380	0.03176	117			13689			18022.4772		
380	0.68121	121			14641			18212.40214		
380	1.0638	124			15376			18489.48856		
380	1.4805	128			16384			18937.48017		
380	1.7033	131			17161			19242.74521		
380	1.9367	133			17689			19614.26777		
380	2.1814	137			18769			20063.4027		
380	2.4381	140			19600			20603.87593		
380	2.7075	145			21025			21252.35938		
380	2.99	150			22500			22028.33567		
380	3.5947	162			26244			24058.01245		
380	4.2488	174			30276			26916.60399		
380	4.9379	188			35344			30850.23557		
380	7.9963	278			77284			68232.0916		
380	9.7614	355			126025			119157.0614		
380	11.608	467			218089			222079.763		
380	12.678	552			304704			321089.8494		
380	13.439	624			389376			417630.7722		
380	14.034	695			483025			512681.2198		
380	14.525	761			579121			606796.6669		
										
v modelo	a	b	c	d	ei	suma ei				
113.0516823	2.55776E-05	0.353279634	1.520275124	0.007278793	170.3464098	2098.126115				
114.1913827					84.48151664					
116.1600089					51.26572764					
120.161021					17.31409617					
123.6541421					0.427901854					
129.1748973					0.68079454					
139.0134399					80.75826268					
160.8498333					66.4252169					
211.3167032					560.8985488					
263.1892046					96.25170645					
325.8052996					1.427309093					
366.9099051					16.72887656					
398.9786967					4.085667026					
506.5494951					42.89588617					
580.1467653					172.8374389					
691.135534					229.084389					
779.1192573					123.6378833					
854.7640404					7.639919199					
922.1914532					33.73921606					
983.6370115					337.1993478					
134.2478201					297.4872974					
134.9533332					194.6955072					
135.9760588					143.4259839					
137.6135174					92.41971638					
138.7182223					59.57095616					
140.0509471					49.71585441					
141.6453413					21.57919553					
143.5405028					12.53515978					
145.7818898					0.611351609					
148.4194585					2.498111307					
155.1064552					47.52095946					
164.062805					98.74784405					
175.6423513					152.7114813					
261.2127325					281.8123512					
345.1913402					96.20980658					
471.2533957					18.09137539					
566.647906					214.5611516					
646.2435858					494.7771087					
716.0176114					441.7399874					
778.9715443					322.9764051					
